 0.000392402 0.00141268 0.00210428 0.00650416 0.0180268 0.0345995 0.0667704 0.095111 0.120101 0.135378 0.149625 0.110892 0.0824923 0.0480061 0.0281201 0.0171054 0.0162402 0.0188132 0.013898 0.007172 0.00256072 0.00436076 0.0086427 0.0075977 0.00266613 0.00116203 0.000245937 0 0 0 0 0 0
 0 0 0 0 0.00113184 0.00347061 0.0164473 0.0498954 0.119293 0.176018 0.213979 0.180653 0.124523 0.044543 0.0314418 0.0121884 0.00623105 0.00314606 0.00266531 0.00279275 0.00250045 0.00149754 0.00373135 0.00160542 0.00109828 0.000899789 0.000223882 2.24059e-05 0 0 0 0 0
 0 0 0.000360421 0.00504655 0.0300854 0.0531965 0.0751071 0.0894017 0.150226 0.163851 0.159452 0.0898345 0.065465 0.0494048 0.0240993 0.0164242 0.0131882 0.00567936 0.00358603 0.0013112 0.00144626 0.000673669 0.000400116 0.000449201 0.000549236 0.000230906 0.000481925 4.90856e-05 0 0 0 0 0
 0 0 0 0.00172824 0.054666 0.0619412 0.0650561 0.041299 0.0740977 0.101885 0.100939 0.0733633 0.0537372 0.0518229 0.0517618 0.0394885 0.0458706 0.0308756 0.0178745 0.020173 0.036157 0.0347541 0.0247732 0.0142146 0.00299304 0.000528186 0 0 0 0 0 0 0
 0 0 0.00142795 0.00116832 0.00313136 0.00466263 0.0132574 0.014834 0.0205485 0.0182183 0.0172931 0.0373696 0.0878849 0.134403 0.198422 0.144683 0.108758 0.0531646 0.0356261 0.0264876 0.0258255 0.0193131 0.0162939 0.0116229 0.00375155 0.000724146 0.000350277 0.000540547 0 0.00023816 0 0 0
 5.76301e-05 0.000106226 0.000860448 0.00242394 0.00713219 0.0247567 0.0510049 0.0692862 0.100937 0.13476 0.157654 0.127184 0.095718 0.0758715 0.0687996 0.0280641 0.0126136 0.00908121 0.00976857 0.00816013 0.00370049 0.00199726 0.00241475 0.0033543 0.00301105 0.000940875 0.000237293 0.000102832 0 0 0 0 0
 0 0 2.56622e-05 0.000395949 0.000789894 0.00155093 0.00439017 0.00726853 0.00727291 0.00783767 0.0124577 0.0211192 0.0402304 0.0590599 0.0730152 0.0686704 0.0611925 0.069254 0.0963583 0.089178 0.0894379 0.0854556 0.0792808 0.052827 0.0323571 0.023272 0.0120427 0.00425855 0.000604876 0.000337489 5.49546e-05 0 3.75544e-06
 0 0 0.000590737 0.000166665 0.000693759 0.00341564 0.00894924 0.0200736 0.0455672 0.06139 0.107481 0.13665 0.168148 0.126321 0.0863709 0.0501429 0.0262424 0.0150719 0.00855182 0.00651493 0.010765 0.0116176 0.0179031 0.0245576 0.030254 0.0207649 0.00888219 0.00226477 0.00058522 6.30842e-05 0 0 0
 0 0 7.7746e-05 0.000182624 0.00152912 0.00560166 0.0244851 0.0606349 0.0844253 0.108002 0.140204 0.156004 0.14414 0.0944267 0.0538572 0.0286288 0.0211779 0.0150081 0.012776 0.0128518 0.00978169 0.00562593 0.00259994 0.00210899 0.00357389 0.00536132 0.00424966 0.00132422 0.0002584 0.000228497 0.000210276 0.000287749 0.00037629
 0 0 0.000112476 9.10609e-05 0.00160877 0.00259554 0.00643727 0.0172219 0.054284 0.0809258 0.119452 0.114497 0.154427 0.141199 0.0838883 0.0475494 0.0330069 0.025917 0.0160865 0.011423 0.0120626 0.0151939 0.0183573 0.0177308 0.0126771 0.00800004 0.00410544 0.000903218 0.000232095 1.45464e-05 1.49321e-07 0 0
 0 0 0 3.71989e-05 5.71959e-05 4.24168e-05 0.00078915 0.0031222 0.016436 0.0553874 0.149949 0.194637 0.199421 0.1178 0.0830221 0.0504699 0.0353448 0.0194305 0.0197565 0.013508 0.0125075 0.0085386 0.00926046 0.00603847 0.00289314 0.00111969 0.000343919 4.75845e-05 2.53355e-05 8.17371e-06 6.76619e-06 0 0
 0 0 8.9529e-06 0.000666476 0.00851539 0.0408881 0.107472 0.147231 0.148338 0.130274 0.106312 0.0658005 0.0398368 0.0232571 0.0215759 0.0180587 0.0197108 0.0199512 0.0231868 0.0167695 0.0188706 0.0187961 0.0148588 0.00615239 0.00198713 0.0010032 0.000338355 0.000116128 2.28264e-05 0 0 0 0
 0 0 0 7.02507e-05 0.000263328 0.000548731 0.000981497 0.0017289 0.00406477 0.00971891 0.0258001 0.0495391 0.0747426 0.0791526 0.0649651 0.0543065 0.0605707 0.0751266 0.0984942 0.0745161 0.0880128 0.100454 0.0849037 0.0388137 0.0112248 0.00175239 0.00018644 5.12338e-05 1.05898e-05 0 0 0 0
 0 0 0 0 0.000114416 0.00124278 0.00453334 0.00915735 0.016035 0.0282864 0.043968 0.0738734 0.116259 0.1515 0.158191 0.133089 0.0940525 0.045991 0.0286536 0.0210238 0.0191378 0.0149752 0.0128901 0.0139178 0.00933154 0.00318012 0.000538141 5.42003e-05 5.10372e-06 0 0 0 0
 0 0 0 7.02507e-05 0.000263328 0.000548731 0.000981497 0.0017289 0.00406477 0.00971891 0.0258001 0.0495391 0.0747426 0.0791526 0.0649651 0.0543065 0.0605707 0.0751266 0.0984942 0.0745161 0.0880128 0.100454 0.0849037 0.0388137 0.0112248 0.00175239 0.00018644 5.12338e-05 1.05898e-05 0 0 0 0
 0 0 0 4.83443e-06 0.000111998 0.00029583 0.000811441 0.00109556 0.00166819 0.00248899 0.0111446 0.0226315 0.0340969 0.0287968 0.0264225 0.0319047 0.0722863 0.0902349 0.104564 0.0865145 0.0875171 0.0759939 0.0979246 0.0952211 0.0755109 0.0367561 0.0138664 0.00186454 0.000259882 6.69383e-06 4.58651e-06 0 0
 0 0 0 0 6.89061e-05 8.88203e-05 0.000632824 0.00068132 0.00213741 0.00361646 0.00957986 0.0240773 0.0667642 0.137094 0.211071 0.198384 0.126289 0.0552137 0.03188 0.0258919 0.0265745 0.0210263 0.0204126 0.0157171 0.0127982 0.00665775 0.00270054 0.000520782 0.000122 0 0 0 0
 0 0 0 0 0 9.84098e-05 0.000604711 0.00170343 0.00310536 0.00734852 0.0176489 0.0427683 0.0978888 0.159801 0.193279 0.183614 0.12566 0.0563089 0.0231206 0.0124873 0.0153594 0.0171433 0.0185976 0.0124782 0.00705476 0.0023293 0.00123525 0.000297225 6.78289e-05 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#Obs prop talla en reclas:
 0 0 0.0189304 0.0533168 0.196706 0.428486 0.207945 0.0681173 0.0211915 0.00483197 0.000356203 7.2273e-05 0 2.58118e-05 0 2.06494e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0.00381409 0.0268644 0.134145 0.0849964 0.0583607 0.0545237 0.0858141 0.104879 0.127334 0.138845 0.112827 0.0474559 0.0131635 0.00389414 0.00135523 1.71548e-05 0 0.000588982 0.000148675 0.000240167 0.000223013 0.000451744 3.43096e-05 1.14365e-05 0 1.14365e-05 0 0 0 0 0 0
 0 0 0 0 0.000226634 0.00126915 0.0146665 0.0611394 0.163118 0.208464 0.212324 0.145285 0.0934574 0.0295919 0.00198143 6.47526e-06 0.000977764 0.00143751 0.00418302 0.00300452 0.00652058 0.00767966 0.0173019 0.00707098 0.00752425 0.00788686 0.0032182 0.00166414 0 0 0 0 0
 0.00407279 0.00590908 0.0134426 0.0106175 0.00736869 0.00362549 0.00694493 0.0203404 0.0567366 0.0796666 0.0552063 0.0557714 0.0371495 0.0319232 0.0249311 0.0402335 0.0694493 0.103374 0.103162 0.101914 0.0685077 0.0399981 0.0136544 0.00922852 0.00496739 0.00969937 0.0111354 0.00845163 0.00221296 0.000164795 0.000141253 0 0
 0 0 0 0 0.00189858 0.00403803 0.0558948 0.0706726 0.116295 0.164015 0.189617 0.144462 0.093994 0.0569858 0.032786 0.011179 0.0131909 0.014211 0.0108531 0.00794854 0.00643251 0.00240865 0.00141685 0.000920954 0.000680089 9.91796e-05 0 0 0 0 0 0 0
 0 0 0 0 0.00654581 0.00547805 0.0192428 0.0161556 0.0482579 0.0532021 0.114343 0.082194 0.095216 0.0611639 0.0422228 0.0191964 0.00443351 0.00111418 0.00278545 0.00659223 0.0470973 0.10016 0.164458 0.0868132 0.0208909 0.00174091 0.000371393 0.000232121 6.96363e-05 2.32121e-05 0 0 0
 0 0.00811736 0.0261422 0.0273848 0.0581544 0.106921 0.161446 0.166256 0.120768 0.063464 0.0699792 0.0673964 0.0395562 0.0207331 0.00714025 0.00315624 0.00076878 0.000595482 0.00107482 0.00146013 0.00239668 0.00322445 0.00782607 0.015112 0.0109841 0.00742969 0.00212382 0.00034844 4.05591e-05 0 0 0 0
 0 0 0 0.00016276 0.000797526 0.00356445 0.0110921 0.0137451 0.0187174 0.0260742 0.0168945 0.0122803 0.0128337 0.0160319 0.00375977 0.00936686 0.0362467 0.085734 0.109961 0.102555 0.148389 0.106698 0.0444499 0.0420166 0.0821615 0.0736735 0.0214925 0.00130208 0 0 0 0 0
 0 0 0.00357922 0.00433989 0.00737892 0.00681485 0.0194597 0.042438 0.0767364 0.111766 0.126965 0.156378 0.162165 0.0544655 0.0276122 0.00841337 0.00139641 0.000169039 0.000156177 0.000929715 0.00429396 0.0136315 0.036867 0.0659491 0.0444058 0.018315 0.00430131 0.00107303 0 0 0 0 0
 0 0.000547781 0.00573135 0.0118571 0.0167558 0.0571726 0.111791 0.207931 0.212633 0.131968 0.025705 0.0119197 0.00635738 0.00338372 0.00899299 0.0273296 0.066294 0.0454157 0.0295582 0.0107991 0.0032053 0.00126146 0.000494568 0.000591603 0.000694899 0.00112999 0.000419443 5.94733e-05 0 0 0 0 0
 0.0411471 0.123474 0.134978 0.0564057 0.0981861 0.170121 0.103711 0.057072 0.0434113 0.0392579 0.0237907 0.00851245 0.00404396 0.000223115 0.000918283 0.00993068 0.0291351 0.0226679 0.0134902 0.00478458 0.00379812 0.00379502 0.00245013 0.00210823 0.000903822 0.000837714 0.000538161 0.000306783 0 0 0 0 0
 0 0.000152094 0 0.000354279 0.00409743 0.0283742 0.138274 0.301787 0.235768 0.14987 0.0543486 0.0355909 0.024458 0.00929596 0.00380053 0.00482785 0.00644715 0.0017714 0.000363387 0.000357922 2.64116e-05 2.09471e-05 9.10743e-07 7.28595e-06 0 0 6.3752e-06 0 0 0 0 0 0
 0.00567191 0.0171378 0.0466668 0.050732 0.124777 0.189039 0.179808 0.187517 0.0854968 0.0415807 0.00688688 0.00561113 0.0205329 0.0100501 0.00401406 0.000468767 0.000639279 0.00214293 0.00700111 0.00428024 0.00272988 0.00241305 0.00162014 0.00143781 0.000770961 0.000598198 0.00032189 5.40235e-05 0 0 0 0 0
 0.00126441 0.0198972 0.0434038 0.018242 0.00456338 0.00912675 0.019242 0.0178052 0.0263227 0.031093 0.0313574 0.0225295 0.00575882 0.011713 0.0216099 0.0426107 0.102923 0.131982 0.140752 0.081589 0.0625309 0.0449671 0.0550824 0.0378634 0.0111843 0.00371277 0.000873593 0 0 0 0 0 0
 0.0443791 0.087723 0.13127 0.104068 0.0647659 0.0419155 0.0376889 0.0616578 0.0805628 0.081835 0.0761618 0.0576226 0.0419676 0.0261225 0.0169988 0.00870446 0.00270314 0.00161068 0.00345835 0.00496617 0.00600133 0.00674742 0.00495054 0.00328256 0.00231381 0.000522137 0 0 0 0 0 0 0
 0.136661 0.298279 0.243738 0.090876 0.0370853 0.0143159 0.00170349 0.000129845 0.000660853 0.00391279 0.00456202 0.00436628 0.00196512 0.00218605 0.00339535 0.00335465 0.0089845 0.0111395 0.0148682 0.0247907 0.026093 0.0255407 0.0170717 0.0121143 0.00671124 0.0031938 0.00155039 0.000606589 0.000143411 0 0 0 0
 0.0201132 0.0405425 0.0361415 0.0223821 0.0122217 0.0197406 0.0389623 0.0423208 0.0318868 0.0354623 0.0821321 0.107415 0.0430613 0.00585849 0.00528774 0.0230519 0.0540566 0.0690849 0.0891274 0.0608113 0.0309953 0.0209717 0.0213585 0.0267358 0.027316 0.0232075 0.00728302 0.0020283 0.000443396 0 0 0 0
 0 0 0 0 0.00249412 0.0124954 0.0150082 0.00997028 0.0198971 0.0348991 0.0535305 0.0791977 0.0882311 0.0954343 0.123701 0.130699 0.105411 0.0535119 0.0263372 0.0212621 0.030736 0.0369589 0.0235018 0.0198971 0.0110126 0.00417548 0.00113538 0.000502547 0 0 0 0 0
 0.0524907 0.128135 0.0474274 0.0331466 0.0377716 0.0622589 0.0691078 0.0914247 0.0885814 0.0845968 0.0618511 0.0604333 0.0488109 0.0217623 0.00766636 0.0016236 0.00104238 0.00456018 0.00863633 0.0154356 0.0224846 0.0226504 0.0150069 0.0074072 0.00356163 0.00166362 0.000287751 0.000142922 3.23958e-05 0 0 0 0
  1.59837e-06 1.11956e-05 6.47727e-05 0.000309535 0.0012218 0.00398354 0.0107279 0.0238641 0.0438509 0.0665693 0.0835239 0.0867358 0.0749219 0.0548436 0.0363951 0.0264852 0.0267238 0.0348159 0.0467134 0.0579736 0.0647264 0.0647206 0.0580376 0.0468424 0.034209 0.0227691 0.0139399 0.00789054 0.00407202 0.00187559 0.000769964 0.00028256 9.21616e-05
  0 0 0 0 0 0.01 0.03 0.06 0.09 0.12 0.12 0.13 0.12 0.06 0.06 0.02 0.01 0 0.02 0.01 0.02 0.02 0.02 0.02 0.02 0.01 0.02 0.01 0 0 0 0 0
  0 0 0 0 0 0.01 0.01 0 0.02 0.05 0.1 0.07 0.1 0.07 0.02 0 0.01 0.01 0.06 0.06 0.11 0.09 0.06 0.06 0.01 0.04 0.02 0 0.01 0 0 0 0.01
  0 0 0 0 0 0.01 0.03 0.01 0.02 0.08 0.11 0.03 0.05 0.03 0.03 0.02 0.04 0.02 0.06 0.01 0.01 0.07 0.09 0.06 0.02 0.08 0.06 0.04 0 0.01 0 0.01 0
  0 0 0 0 0.01 0.01 0.01 0.01 0.1 0.09 0.1 0.16 0.15 0.13 0.06 0.04 0.01 0 0 0 0.01 0 0.04 0.02 0 0.03 0.02 0 0 0 0 0 0
  0 0 0 0 0 0.01 0.01 0.04 0.09 0.04 0.04 0.07 0.09 0.06 0.06 0.01 0.04 0.01 0.03 0.05 0.05 0.09 0.03 0.08 0.02 0.01 0.01 0.02 0.03 0.01 0 0 0
#Obs prop talla en pelaces:
 0 0 0 0.00862536 0 0 0.000197151 0.00414017 0.0128641 0.00837892 0.0270097 0.101434 0.158115 0.152841 0.127902 0.109271 0.109419 0.0830992 0.0579132 0.0238553 0.00714673 0.00463305 0.00128148 0.00103504 0.000492878 0.000147863 0.000147863 4.92878e-05 0 0 0 0 0
 0 0 0 0 0 0 0 0 0.000241268 0.000425767 0.000383191 0.0020153 0.00449894 0.00627297 0.0217141 0.0432012 0.080839 0.129717 0.134997 0.0761272 0.0667178 0.0789799 0.141781 0.132683 0.0714296 0.0071387 0.000837343 0 0 0 0 0 0
 0 0 0 0 0 0 0 0.00359764 0.0251062 0.0480494 0.140153 0.205849 0.193036 0.1447 0.116669 0.0760912 0.0342217 0.00950174 0.001854 0.000860785 0 0 0 0.000165536 0 0.000143464 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0.000145254 0.000435761 0.0275982 0.070085 0.0708112 0.156366 0.174668 0.174014 0.160142 0.0824315 0.0480064 0.0283245 0.00493863 0.00203355 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1.00437e-05 0.000401748 0.00122533 0.00171747 0.00176769 0.0269171 0.070346 0.194647 0.189555 0.159765 0.064822 0.0314167 0.0384472 0.0292271 0.0345202 0.0313363 0.0194345 0.0106764 0.0143323 0.0359363 0.0279516 0.0138201 0.00172751 0 0 0 0 0
 0 0 0 0 0 0.00210351 0.0136328 0.0752624 0.19943 0.176895 0.0526079 0.0374626 0.0315961 0.0136628 0.0144041 0.0165677 0.0219533 0.0807816 0.0685745 0.0534459 0.0405444 0.0227246 0.0362706 0.0227547 0.00874794 0.00852424 0.00130551 0.000747916 0 0 0 0 0
 0 0 0 0 0.00211015 0.013608 0.0755689 0.200482 0.177728 0.052745 0.0373351 0.0318901 0.0142512 0.0149649 0.0166565 0.0217975 0.0798685 0.0677715 0.0528815 0.0401325 0.0224628 0.0357712 0.0225068 0.00881506 0.00855074 0.00135684 0.0007445 0 0 0 0 0 0
 0 0 0 0 0 0 0 5.43211e-05 0.00500989 0.000945681 0.0243606 0.138948 0.330667 0.221403 0.137944 0.0707755 0.0437927 0.0131679 0.00525433 0.00477532 0.00276297 9.38274e-05 9.87657e-06 2.22223e-05 9.87657e-06 2.46914e-06 0 0 0 0 0 0 0
 0 0 0 0.000866671 0.0028389 0.00948339 0.0512781 0.133034 0.257851 0.225251 0.132001 0.0553281 0.0519781 0.054067 0.0177557 0.00435002 0.00159445 0.00146667 0.000405558 0.000127778 0.000116667 0.000105556 0.000100001 0 0 0 0 0 0 0 0 0 0
 0 0 0 0.0076425 0.0510294 0.0999085 0.0589808 0.0496792 0.0374771 0.0719125 0.123213 0.153918 0.159048 0.0857855 0.0378066 0.0234747 0.014782 0.00901039 0.00315937 0.000891331 0.00290933 0.00215037 0.00393009 0.00275048 0.000441253 0.000100017 0 0 0 0 0 0 0
 0 0 0 0 0 0.00731252 0.0441443 0.0640578 0.108157 0.148421 0.183625 0.137303 0.0710482 0.0225097 0.014 0.00915146 0.00928368 0.0133462 0.0354905 0.0333174 0.0281707 0.0211467 0.0165193 0.0126827 0.0111995 0.00575242 0.00250962 0.000497597 0.000353366 0 0 0 0
 0.00306036 0.00479188 0.00569791 0.0095435 0.0108455 0.00647642 0.0170535 0.0509993 0.094086 0.124012 0.0959786 0.0687709 0.0819989 0.0617508 0.0591469 0.0492275 0.0479994 0.0443954 0.0268453 0.0217447 0.0140871 0.0121072 0.0120334 0.00920122 0.00665763 0.00495966 0.00861733 0.00930189 0.0156911 0.0114629 0.00855693 0.0024295 0.000469792
 0 0 0 0 0.00249412 0.0124954 0.0150082 0.00997028 0.0198971 0.0348991 0.0535305 0.0791977 0.0882311 0.0954343 0.123701 0.130699 0.105411 0.0535119 0.0263372 0.0212621 0.030736 0.0369589 0.0235018 0.0198971 0.0110126 0.00417548 0.00113538 0.000502547 0 0 0 0 0
 0 0 0 0 0 0.000143841 0.00158689 0.030884 0.0799059 0.126102 0.118632 0.123518 0.123221 0.1093 0.0995796 0.0471937 0.0261698 0.0108484 0.0104865 0.0109876 0.0143748 0.0182817 0.0215436 0.0155162 0.00720596 0.00308098 0.00134561 9.28005e-05 0 0 0 0 0
  1.36245e-06 9.54312e-06 5.52122e-05 0.000263848 0.00104147 0.00339559 0.00914456 0.0203423 0.037381 0.0567536 0.0712314 0.074046 0.0641791 0.0475379 0.0327809 0.026063 0.0289428 0.0393854 0.0534509 0.0664916 0.0742688 0.0742676 0.0665995 0.0537528 0.0392557 0.0261281 0.0159964 0.00905459 0.00467275 0.00215229 0.000883553 0.000324244 0.000105758
  0 0 0 0 0 0.01 0.02 0.01 0.06 0.11 0.2 0.08 0.08 0.08 0.06 0.02 0.05 0 0.02 0.01 0.02 0.02 0.03 0.03 0.03 0.01 0.01 0.02 0.02 0 0 0 0
  0 0 0 0 0 0 0 0.04 0.02 0.06 0.06 0.06 0.05 0.08 0.06 0.01 0.02 0.02 0.08 0.05 0.04 0.07 0.06 0.02 0.05 0.03 0.06 0.05 0.01 0 0 0 0
  0 0 0 0 0 0 0.04 0 0.03 0.06 0.05 0.1 0.06 0.02 0.03 0.02 0.01 0.01 0.02 0.04 0.07 0.05 0.04 0.07 0.05 0.08 0.07 0.03 0.01 0 0.04 0 0
  0 0 0 0 0 0.02 0.01 0.02 0.04 0.1 0.14 0.2 0.08 0.09 0.03 0.01 0.01 0.01 0.01 0.02 0.05 0.01 0.03 0.02 0.03 0.01 0.01 0.02 0.01 0.02 0 0 0
  0 0 0 0 0 0.01 0 0.03 0.04 0.07 0.08 0.13 0.06 0.05 0.01 0.01 0.03 0.04 0.06 0.05 0.06 0.05 0.05 0.03 0.05 0.02 0.03 0 0.03 0.01 0 0 0
# peso a la edad :
 5.22264 20.7541 32.2182 38.1987 40.9711
#Opts_proy
1
